"","P_Value","Pseudo_R","Col_name"
"1",0.000753322004059821,0.163501411908097,"Department"
"2",0.404825157866251,0.154861856920586,"DistanceFromHome"
"3",0.00870771308565785,0.157498409255823,"Education"
"4",0.00135666232167687,0.173751082589867,"EducationField"
"5",0.498786168089819,0.154763790695297,"Gender"
"6",0.794780448725622,0.15459663846337,"JobLevel"
"7",0.814809963814518,0.165009392145939,"JobRole"
"8",0.0460630330692973,0.156269691257723,"MonthlyIncome"
"9",0.171798988237291,0.155357538116006,"PercentSalaryHike"
"10",0.115362103104972,0.155644125534291,"StockOptionLevel"
"11",0.0197981506964797,0.156922267967079,"TrainingTimesLastYear"
"12",0.595278866545232,0.154687155918804,"YearsSinceLastPromotion"
