"","P_Value","Pseudo_R","Col_name"
"1",0.428295876522739,0.163767445523383,"DistanceFromHome"
"2",0.0100088948525538,0.16632535436309,"Education"
"3",0.296099114682573,0.176875127563901,"EducationField"
"4",0.509356357877881,0.163687886182041,"Gender"
"5",0.74740155048596,0.163545577333115,"JobLevel"
"6",0.635749117032493,0.174309089809548,"JobRole"
"7",0.0519960655488943,0.165115849410649,"MonthlyIncome"
"8",0.222633207530881,0.164131060363816,"PercentSalaryHike"
"9",0.105705627111841,0.164638449250914,"StockOptionLevel"
"10",0.015269523479477,0.166054305543474,"TrainingTimesLastYear"
"11",0.595205486813778,0.163620796764478,"YearsSinceLastPromotion"
